id,complaint_id,raw_text,address,ward_name,ward_id,zone,category,urgency_score,status,officer_id,department,filed_date,resolved_date,resolution_days,is_fake_resolution,is_affluent_ward,source,predicted_category,confidence,ai_urgency_score,latitude,longitude
12.0,SYNFA66A0,Construction work near Jayanagar happening at night beyond 10 PM for past 41 days. Builder ignoring BBMP rules. Residents unable to sleep. Children and sick people affected.,"184, Residency Road, Jayanagar, Bengaluru",Jayanagar,172.0,South,Noise,16.0,resolved,OFF820,Health,2026-02-15 12:55:24,2026-02-28 12:55:24,13.0,False,True,synthetic,,,,,
13.0,SYN45DDAE,Streetlight not working on KR Road near vegetable market for past 14 days. Area is completely dark at night. Women and elderly residents afraid to step out.,"300, KR Road, RT Nagar, Bengaluru",RT Nagar,25.0,North,Road,58.0,open,,Engineering,2025-11-26 12:55:24,,,False,False,synthetic,,,,,
14.0,SYN995FA2,Tar road near Whitefield completely damaged. Only gravel and mud visible. During rains water logging happens and road becomes unusable. Immediate repair needed.,"7, 2nd Main Road, Whitefield, Bengaluru",Whitefield,84.0,East,Road,54.0,resolved,OFF905,Engineering,2026-01-30 12:55:24,2026-02-05 12:55:24,6.0,False,True,synthetic,,,,,
15.0,SYN3DF238,Underground water tank on Old Airport Road has crack. Water seeping out for weeks. Request immediate repair before tank collapses and causes accident.,"90, Old Airport Road, Kadubeesanahalli, Bengaluru",Kadubeesanahalli,87.0,East,Water,80.0,open,,BWSSB,2025-12-13 12:55:24,,,False,False,synthetic,,,,,
16.0,SYNC46E37,Street light poles on CMH Road installed but no power supply given for 16 days. Poles standing with no lights. Area completely dark at night.,"27, CMH Road, Marathahalli, Bengaluru",Marathahalli,85.0,East,Electricity,69.0,resolved,OFF194,BESCOM,2025-12-15 12:55:24,2025-12-28 12:55:24,13.0,False,False,synthetic,,,,,
17.0,SYNC15521,Frequent power fluctuations in KR Puram damaging appliances. Three refrigerators and TVs already damaged in our building. BESCOM not taking responsibility.,"244, Panathur Road, KR Puram, Bengaluru",KR Puram,94.0,East,Electricity,45.0,resolved,OFF560,BESCOM,2025-11-28 12:55:24,2025-12-26 12:55:24,28.0,False,False,synthetic,,,,,
18.0,SYNC8615E,No water supply in Malleswaram for past 43 days. Residents buying water tankers at Rs 800 per trip. BWSSB not responding. Please take immediate action.,"279, 2nd Main Road, Malleswaram, Bengaluru",Malleswaram,44.0,West,Water,43.0,open,,BWSSB,2026-01-02 12:55:24,,,False,True,synthetic,,,,,
19.0,SYN9839C3,Kere bund near mosque encroached by unauthorized construction. Lake area shrinking. Already filed complaint with BBMP and lake authority but no action.,"300, Brigade Road, Indiranagar, Bengaluru",Indiranagar,80.0,East,Encroachment,34.0,resolved,OFF812,Town Planning,2025-12-10 12:55:24,2025-12-25 12:55:24,15.0,False,True,synthetic,,,,,
20.0,SYN4632B3,Rajakaluve encroachment near government school blocking natural drainage. Flooding in residential area every year. BBMP not taking action against encroachers.,"132, KR Road, Shivajinagar, Bengaluru",Shivajinagar,73.0,Central,Drainage,75.0,resolved,OFF489,Engineering,2025-11-16 12:55:24,2026-01-07 12:55:24,52.0,False,False,synthetic,,,,,
21.0,SYN5050B5,Road in Jayanagar completely broken after last rain. No repairs done for 44 days. Vehicle tyres getting damaged daily. Serious accident risk for two wheelers.,"294, Old Airport Road, Jayanagar, Bengaluru",Jayanagar,172.0,South,Road,70.0,resolved,OFF686,Engineering,2025-12-17 12:55:24,2025-12-20 12:55:24,3.0,False,True,synthetic,,,,,
22.0,REAL021,Water supply stopped without notice for 5 days. No communication from BWSSB. Elderly and sick residents severely affected. We are forced to buy water at very high cost from private tankers.,"Nagawara Main Road, Bangalore 560045",Nagawara,24.0,North,Water,81.0,open,,BWSSB,2025-08-09 12:55:24,,,False,False,real,,,,,
23.0,SYNB50804,Construction work near Koramangala happening at night beyond 10 PM for past 41 days. Builder ignoring BBMP rules. Residents unable to sleep. Children and sick people affected.,"180, Varthur Road, Koramangala, Bengaluru",Koramangala,151.0,South,Noise,15.0,resolved,OFF129,Health,2026-02-14 12:55:24,2026-02-22 12:55:24,8.0,False,True,synthetic,,,,,
24.0,SYNACAA50,Diesel generator at commercial building on 1st Main Road running all night creating unbearable noise. Air and noise pollution affecting residents of Whitefield.,"213, 1st Main Road, Whitefield, Bengaluru",Whitefield,84.0,East,Noise,15.0,open,,Health,2026-01-05 12:55:24,,,False,True,synthetic,,,,,
25.0,SYN920D61,Naala encroachment near Borewell Road by plot owner. Sewage now backing up into adjacent plots during rain. BBMP survey team visited but no action in 11 days.,"213, Borewell Road, HSR Layout, Bengaluru",HSR Layout,174.0,South,Encroachment,26.0,open,,Town Planning,2026-02-05 12:55:24,,,False,True,synthetic,,,,,
26.0,SYNBB942E,Encroachment on BDA formed road near Malleswaram. Road width reduced from 40 feet to 20 feet due to encroachments. Traffic chaos during peak hours.,"40, Whitefield Main Road, Malleswaram, Bengaluru",Malleswaram,44.0,West,Encroachment,27.0,open,,Town Planning,2026-01-17 12:55:24,,,False,True,synthetic,,,,,
27.0,SYNA00A87,Encroachment on BDA formed road near Malleswaram. Road width reduced from 40 feet to 20 feet due to encroachments. Traffic chaos during peak hours.,"176, MG Road, Malleswaram, Bengaluru",Malleswaram,44.0,West,Encroachment,38.0,resolved,OFF750,Town Planning,2026-01-07 12:55:24,2026-01-27 12:55:24,20.0,False,True,synthetic,,,,,
28.0,SYNDE5964,Kere bund near temple encroached by unauthorized construction. Lake area shrinking. Already filed complaint with BBMP and lake authority but no action.,"54, 2nd Main Road, Kadubeesanahalli, Bengaluru",Kadubeesanahalli,87.0,East,Encroachment,23.0,resolved,OFF270,Town Planning,2026-02-27 12:55:24,2026-11-02 12:55:24,248.0,False,False,synthetic,,,,,
29.0,SYN4F38E3,New water connection applied 6 months ago but not given yet. All documents submitted. Bribe demanded by BWSSB officials for processing connection.,"236, Whitefield Main Road, Jayanagar, Bengaluru",Jayanagar,172.0,South,Water,10.0,resolved,OFF834,BWSSB,2025-11-28 12:55:24,2025-11-30 12:55:24,2.0,False,True,synthetic,,,,,
30.0,SYN5E2229,Footpath near 1st Main Road completely encroached by vendors and construction material. Pedestrians forced to walk on road risking their lives.,"84, 1st Main Road, Malleswaram, Bengaluru",Malleswaram,44.0,West,Road,39.0,resolved,OFF204,Engineering,2025-12-03 12:55:24,2025-12-07 12:55:24,4.0,False,True,synthetic,,,,,
31.0,SYN5F3736,Construction work near Rajajinagar happening at night beyond 10 PM for past 37 days. Builder ignoring BBMP rules. Residents unable to sleep. Children and sick people affected.,"74, Residency Road, Rajajinagar, Bengaluru",Rajajinagar,67.0,West,Noise,19.0,open,,Health,2026-02-12 12:55:24,,,False,False,synthetic,,,,,
32.0,SYND127B2,Water supply stopped completely in Govindrajnagar since last 6 days with no notice. Residents with medical conditions severely affected. Elderly residents suffering.,"210, 2nd Main Road, Govindrajnagar, Bengaluru",Govindrajnagar,57.0,West,Water,23.0,resolved,OFF252,BWSSB,2026-01-27 12:55:24,2026-03-24 12:55:24,56.0,False,False,synthetic,,,,,
33.0,SYN32C895,Power cuts in Koramangala every day for 25 to 6 hours. BESCOM not giving any schedule. Work from home professionals and students severely affected.,"175, Sarjapur Road, Koramangala, Bengaluru",Koramangala,151.0,South,Electricity,34.0,resolved,OFF489,BESCOM,2025-11-29 12:55:24,2025-11-30 12:55:24,1.0,False,True,synthetic,,,,,
34.0,SYN3F4587,Naala encroachment near Tumkur Road by plot owner. Sewage now backing up into adjacent plots during rain. BBMP survey team visited but no action in 4 days.,"145, Tumkur Road, BTM Layout, Bengaluru",BTM Layout,168.0,South,Encroachment,13.0,open,,Town Planning,2026-02-21 12:55:24,,,False,False,synthetic,,,,,
35.0,SYN189211,Encroachment on BDA formed road near Shivajinagar. Road width reduced from 40 feet to 20 feet due to encroachments. Traffic chaos during peak hours.,"297, 80 Feet Road, Shivajinagar, Bengaluru",Shivajinagar,73.0,Central,Encroachment,36.0,open,,Town Planning,2025-11-27 12:55:24,,,False,False,synthetic,,,,,
36.0,SYN47CEBF,No water supply in Marathahalli for past 59 days. Residents buying water tankers at Rs 800 per trip. BWSSB not responding. Please take immediate action.,"279, Varthur Road, Marathahalli, Bengaluru",Marathahalli,85.0,East,Water,66.0,open,,BWSSB,2026-03-07 12:55:24,,,False,False,synthetic,,,,,
37.0,SYNDC5C20,Footpath near 2nd Main Road completely encroached by permanent vendor stalls. Pedestrians forced to walk on road. BBMP inspection team visited but no action taken.,"66, 2nd Main Road, Rajarajeswari Nagar, Bengaluru",Rajarajeswari Nagar,155.0,West,Encroachment,15.0,resolved,OFF206,Town Planning,2025-12-28 12:55:24,2026-05-20 12:55:24,143.0,False,False,synthetic,,,,,
38.0,SYN7AD40D,Diesel generator at commercial building on Kanakapura Road running all night creating unbearable noise. Air and noise pollution affecting residents of KR Puram.,"12, Kanakapura Road, KR Puram, Bengaluru",KR Puram,94.0,East,Noise,28.0,resolved,OFF681,Health,2026-01-17 12:55:24,2026-05-06 12:55:24,109.0,False,False,synthetic,,,,,
39.0,SYN9CFA41,Water meter reading incorrect for past 3 months. Bill shows 10x actual consumption. BWSSB office not addressing complaint despite multiple visits.,"277, Varthur Road, Yelahanka, Bengaluru",Yelahanka,5.0,North,Water,31.0,open,,BWSSB,2025-11-27 12:55:24,,,False,False,synthetic,,,,,
40.0,SYN53C4C6,Drainage blocked near Nagawara. Water stagnation on road and footpath for past 22 days after each rain. Mosquito breeding risk. Residents using alternate routes.,"83, HAL Airport Road, Nagawara, Bengaluru",Nagawara,24.0,North,Drainage,68.0,resolved,OFF549,Engineering,2026-03-01 12:55:24,2026-05-26 12:55:24,86.0,True,False,synthetic,,,,,
41.0,SYN2EF830,Nala near Nagawara completely choked with garbage and debris. Overflows into residential area during rains. Has not been desilted for years.,"140, 1st Main Road, Nagawara, Bengaluru",Nagawara,24.0,North,Drainage,60.0,resolved,OFF443,Engineering,2025-11-15 12:55:24,2026-01-25 12:55:24,71.0,False,False,synthetic,,,,,
42.0,SYNDCE4FA,Streetlight not working on 1st Main Road near primary health centre for past 9 days. Area is completely dark at night. Women and elderly residents afraid to step out.,"128, 1st Main Road, Marathahalli, Bengaluru",Marathahalli,85.0,East,Road,56.0,open,,Engineering,2025-12-10 12:55:24,,,False,False,synthetic,,,,,
43.0,SYN74C226,Tar road near Indiranagar completely damaged. Only gravel and mud visible. During rains water logging happens and road becomes unusable. Immediate repair needed.,"229, HAL Airport Road, Indiranagar, Bengaluru",Indiranagar,80.0,East,Road,66.0,resolved,OFF731,Engineering,2025-12-26 12:55:24,2026-01-02 12:55:24,7.0,False,True,synthetic,,,,,
44.0,SYN2F857D,Dead cow lying near primary health centre for 49 days. BBMP not removing despite multiple calls to helpline. Terrible stench and disease risk to nearby residents.,"111, Hennur Road, BTM Layout, Bengaluru",BTM Layout,168.0,South,Sanitation,46.0,open,,SWM,2026-02-16 12:55:24,,,False,False,synthetic,,,,,
45.0,SYN4B32BD,Diesel generator at commercial building on Hennur Road running all night creating unbearable noise. Air and noise pollution affecting residents of Malleswaram.,"94, Hennur Road, Malleswaram, Bengaluru",Malleswaram,44.0,West,Noise,38.0,open,,Health,2026-01-24 12:55:24,,,False,True,synthetic,,,,,
46.0,SYN693E25,Dirty and smelly water coming from taps in Koramangala since 44 days. Suspected sewage contamination. Children and elderly residents getting sick.,"257, Hennur Road, Koramangala, Bengaluru",Koramangala,151.0,South,Water,19.0,open,,BWSSB,2026-03-03 12:55:24,,,False,True,synthetic,,,,,
47.0,SYN8C8CE4,Naala encroachment near 1st Main Road by plot owner. Sewage now backing up into adjacent plots during rain. BBMP survey team visited but no action in 5 days.,"155, 1st Main Road, Marathahalli, Bengaluru",Marathahalli,85.0,East,Encroachment,16.0,open,,Town Planning,2026-02-12 12:55:24,,,False,False,synthetic,,,,,
48.0,SYN62C157,Sewage water mixing with drinking water pipeline near Bellary Road. Residents falling sick. Children having stomach infections. Health emergency situation in Malleswaram.,"55, Bellary Road, Malleswaram, Bengaluru",Malleswaram,44.0,West,Water,100.0,open,,BWSSB,2025-12-26 12:55:24,,,False,True,synthetic,,,,,
49.0,SYN05B144,Storm drain on Old Airport Road overflowing during rains. Sewage water entering houses in low lying area. Ground floor residents severely affected every monsoon.,"192, Old Airport Road, Chikkabettahalli, Bengaluru",Chikkabettahalli,8.0,North,Drainage,62.0,open,,Engineering,2025-11-14 12:55:24,,,False,False,synthetic,,,,,
50.0,SYND1344C,Government land near CMH Road encroached. Compound wall being built on BBMP road margin. Construction happening without any plan approval or permission.,"171, CMH Road, Rajajinagar, Bengaluru",Rajajinagar,67.0,West,Encroachment,11.0,resolved,OFF340,Town Planning,2026-01-17 12:55:24,2026-04-15 12:55:24,88.0,False,False,synthetic,,,,,
51.0,SYN1DADCE,Open manhole on Residency Road near mosque has no cover for 30 days. Extremely dangerous especially at night. One person has already fallen. Urgent action needed.,"247, Residency Road, Rajajinagar, Bengaluru",Rajajinagar,67.0,West,Drainage,95.0,resolved,OFF120,Engineering,2026-01-07 12:55:24,2026-02-19 12:55:24,43.0,False,False,synthetic,,,,,
52.0,SYNF9B498,Construction work near KR Puram happening at night beyond 10 PM for past 35 days. Builder ignoring BBMP rules. Residents unable to sleep. Children and sick people affected.,"216, Borewell Road, KR Puram, Bengaluru",KR Puram,94.0,East,Noise,16.0,resolved,OFF780,Health,2026-02-01 12:55:24,2026-04-10 12:55:24,68.0,False,False,synthetic,,,,,
53.0,SYNB2804A,Hanging live electric wire near Brigade Road close to SBI branch for 46 days. Extremely dangerous. Children playing nearby. BESCOM not responding to complaint.,"120, Brigade Road, BTM Layout, Bengaluru",BTM Layout,168.0,South,Electricity,73.0,resolved,OFF582,BESCOM,2025-12-07 12:55:24,2026-01-07 12:55:24,31.0,False,False,synthetic,,,,,
54.0,SYNC45C3B,Garbage segregation not being done by BBMP collection vehicle. Wet and dry waste being mixed despite our segregation efforts. Making citizens efforts pointless.,"85, Residency Road, HSR Layout, Bengaluru",HSR Layout,174.0,South,Sanitation,33.0,resolved,OFF960,SWM,2026-01-28 12:55:24,2026-02-01 12:55:24,4.0,False,True,synthetic,,,,,
55.0,SYN47E052,Compost pit near Nagawara overflowing and spreading onto footpath and road. Has not been cleared for 38 days. Unbearable stench for residents.,"98, Mysore Road, Nagawara, Bengaluru",Nagawara,24.0,North,Sanitation,69.0,resolved,OFF104,SWM,2025-12-25 12:55:24,2026-01-24 12:55:24,30.0,True,False,synthetic,,,,,
56.0,SYNB53ABA,Electricity bill doubled without any increase in consumption. Meter tampering suspected. BESCOM officials dismissing complaint without proper investigation.,"150, Old Airport Road, Nagawara, Bengaluru",Nagawara,24.0,North,Electricity,10.0,resolved,OFF523,BESCOM,2026-01-26 12:55:24,2026-02-16 12:55:24,21.0,False,False,synthetic,,,,,
57.0,SYN144B4E,Tar road near Marathahalli completely damaged. Only gravel and mud visible. During rains water logging happens and road becomes unusable. Immediate repair needed.,"224, 80 Feet Road, Marathahalli, Bengaluru",Marathahalli,85.0,East,Road,42.0,resolved,OFF964,Engineering,2025-11-30 12:55:24,2026-02-01 12:55:24,63.0,False,False,synthetic,,,,,
58.0,SYN8606C2,Footpath near KR Road completely encroached by vendors and construction material. Pedestrians forced to walk on road risking their lives.,"40, KR Road, KR Puram, Bengaluru",KR Puram,94.0,East,Road,39.0,resolved,OFF406,Engineering,2026-02-14 12:55:24,2026-05-10 12:55:24,85.0,False,False,synthetic,,,,,
59.0,SYNDD1F9E,Encroachment on BDA formed road near Hebbal. Road width reduced from 40 feet to 20 feet due to encroachments. Traffic chaos during peak hours.,"267, CMH Road, Hebbal, Bengaluru",Hebbal,16.0,North,Encroachment,33.0,open,,Town Planning,2025-12-20 12:55:24,,,False,False,synthetic,,,,,
60.0,SYNEB7F40,Pourakarmikas sweeping road but leaving garbage in pile. Not collecting it in vehicle. Garbage pile left on road for days gets scattered by wind and animals.,"262, Varthur Road, Hebbal, Bengaluru",Hebbal,16.0,North,Sanitation,29.0,resolved,OFF513,SWM,2025-12-11 12:55:24,2025-12-18 12:55:24,7.0,False,False,synthetic,,,,,
61.0,SYN9AE6F4,Stormwater drain on Brigade Road has no cover. Open drain is dangerous especially for children and two wheeler riders. Covered only 2 years ago but cover missing again.,"67, Brigade Road, Bommanahalli, Bengaluru",Bommanahalli,174.0,South,Road,100.0,resolved,OFF543,Engineering,2025-11-20 12:55:24,2026-01-19 12:55:24,60.0,True,False,synthetic,,,,,
62.0,SYN47C52C,Electricity bill doubled without any increase in consumption. Meter tampering suspected. BESCOM officials dismissing complaint without proper investigation.,"232, Old Airport Road, Nagawara, Bengaluru",Nagawara,24.0,North,Electricity,23.0,resolved,OFF333,BESCOM,2025-12-19 12:55:24,2026-01-25 12:55:24,37.0,False,False,synthetic,,,,,
63.0,REAL030,Road near Malleswaram circle dug up for metro work 6 months ago but not restored. Half the road missing. Traffic jammed daily. No timeline given by BBMP or BMRCL for restoration.,"Malleswaram Circle, 8th Cross, Bangalore 560003",Malleswaram,44.0,West,Road,84.0,resolved,OFF884,Engineering,2025-12-29 12:55:24,2025-12-31 12:55:24,2.0,False,True,real,,,,,
64.0,SYNE26DF1,Footpath near 2nd Main Road completely encroached by vendors and construction material. Pedestrians forced to walk on road risking their lives.,"106, 2nd Main Road, JP Nagar, Bengaluru",JP Nagar,184.0,South,Road,14.0,open,,Engineering,2025-12-07 12:55:24,,,False,True,synthetic,,,,,
65.0,SYN3C525F,Electric meter box on Hennur Road left open and exposed to rain. Live wires visible. Children at serious risk. BESCOM not responding to urgent complaints.,"260, Hennur Road, Channasandra, Bengaluru",Channasandra,92.0,East,Electricity,78.0,resolved,OFF462,BESCOM,2026-01-17 12:55:24,2026-01-22 12:55:24,5.0,False,False,synthetic,,,,,
66.0,SYNB6BEB0,Encroachment on BDA formed road near Banashankari. Road width reduced from 40 feet to 20 feet due to encroachments. Traffic chaos during peak hours.,"239, Outer Ring Road, Banashankari, Bengaluru",Banashankari,165.0,South,Encroachment,24.0,resolved,OFF369,Town Planning,2026-01-24 12:55:24,2026-08-05 12:55:24,193.0,True,False,synthetic,,,,,
67.0,SYNF06DA9,Compost pit near RT Nagar overflowing and spreading onto footpath and road. Has not been cleared for 30 days. Unbearable stench for residents.,"67, 9th Main, RT Nagar, Bengaluru",RT Nagar,25.0,North,Sanitation,48.0,resolved,OFF396,SWM,2026-03-04 12:55:24,2026-03-13 12:55:24,9.0,True,False,synthetic,,,,,
68.0,SYNB65B56,Naala encroachment near MG Road by plot owner. Sewage now backing up into adjacent plots during rain. BBMP survey team visited but no action in 29 days.,"113, MG Road, Rajarajeswari Nagar, Bengaluru",Rajarajeswari Nagar,155.0,West,Encroachment,35.0,resolved,OFF399,Town Planning,2025-12-12 12:55:24,2026-04-03 12:55:24,112.0,False,False,synthetic,,,,,
69.0,SYNB54104,Pourakarmikas sweeping road but leaving garbage in pile. Not collecting it in vehicle. Garbage pile left on road for days gets scattered by wind and animals.,"225, Sarjapur Road, KR Puram, Bengaluru",KR Puram,94.0,East,Sanitation,33.0,open,,SWM,2026-02-20 12:55:24,,,False,False,synthetic,,,,,
70.0,SYN5A31E7,Commercial establishment near bus terminus dumping garbage on road at night. BBMP enforcement not taking action despite complaints. Need CCTV monitoring.,"154, Varthur Road, Hebbal, Bengaluru",Hebbal,16.0,North,Sanitation,19.0,open,,SWM,2025-12-21 12:55:24,,,False,False,synthetic,,,,,
71.0,SYN8C5BFC,Construction work near Rajajinagar happening at night beyond 10 PM for past 39 days. Builder ignoring BBMP rules. Residents unable to sleep. Children and sick people affected.,"155, Borewell Road, Rajajinagar, Bengaluru",Rajajinagar,67.0,West,Noise,18.0,open,,Health,2026-01-05 12:55:24,,,False,False,synthetic,,,,,
72.0,SYNDDF686,Dirty and smelly water coming from taps in Indiranagar since 36 days. Suspected sewage contamination. Children and elderly residents getting sick.,"160, Borewell Road, Indiranagar, Bengaluru",Indiranagar,80.0,East,Water,22.0,resolved,OFF430,BWSSB,2025-12-17 12:55:24,2025-12-21 12:55:24,4.0,False,True,synthetic,,,,,
73.0,SYN95D593,Drainage work done near church but not connected to main drain. Water accumulating and stagnating for 53 days. Work appears to be substandard.,"172, 1st Main Road, Nagawara, Bengaluru",Nagawara,24.0,North,Drainage,31.0,resolved,OFF195,Engineering,2025-11-17 12:55:24,2026-01-04 12:55:24,48.0,False,False,synthetic,,,,,
74.0,SYNAAED06,High tension wire passing over residential area in Koramangala at unsafe height. Coconut trees touching the wire. Risk of short circuit and fire.,"83, Varthur Road, Koramangala, Bengaluru",Koramangala,151.0,South,Electricity,90.0,open,,BESCOM,2026-03-07 12:55:24,,,False,True,synthetic,,,,,
75.0,SYN952A4C,Garbage vehicle collecting only from main road. Not entering side lanes in HSR Layout. Residents have to carry garbage to main road which is 500m away.,"76, Outer Ring Road, HSR Layout, Bengaluru",HSR Layout,174.0,South,Sanitation,21.0,open,,SWM,2026-01-06 12:55:24,,,False,True,synthetic,,,,,
76.0,SYN40BB28,No road markings or reflectors on Outer Ring Road. Night driving is dangerous. Several accidents have occurred at this junction. Need proper road markings urgently.,"52, Outer Ring Road, Channasandra, Bengaluru",Channasandra,92.0,East,Road,73.0,resolved,OFF554,Engineering,2025-12-15 12:55:24,2026-03-29 12:55:24,104.0,True,False,synthetic,,,,,
77.0,SYN468A2A,Nala near Jayanagar completely choked with garbage and debris. Overflows into residential area during rains. Has not been desilted for years.,"160, Bannerghatta Road, Jayanagar, Bengaluru",Jayanagar,172.0,South,Drainage,47.0,resolved,OFF706,Engineering,2026-03-05 12:55:24,2026-03-11 12:55:24,6.0,False,True,synthetic,,,,,
78.0,SYNEE438D,Nala near Whitefield completely choked with garbage and debris. Overflows into residential area during rains. Has not been desilted for years.,"155, 5th Cross, Whitefield, Bengaluru",Whitefield,84.0,East,Drainage,67.0,resolved,OFF303,Engineering,2026-01-17 12:55:24,2026-01-27 12:55:24,10.0,False,True,synthetic,,,,,
79.0,SYNC8BC15,Underground drainage pipe collapsed near Borewell Road. Sewage coming up on road. Unbearable stench. BBMP contractor dug up road but not yet repaired after 9 days.,"8, Borewell Road, Govindrajnagar, Bengaluru",Govindrajnagar,57.0,West,Drainage,79.0,open,,Engineering,2025-11-26 12:55:24,,,False,False,synthetic,,,,,
80.0,SYN1CB395,Large pothole on 3rd Block Main Road near SBI branch causing accidents and vehicle damage for past 58 days. Three two-wheelers have already fallen. No action from BBMP despite multiple complaints.,"277, 3rd Block Main Road, JP Nagar, Bengaluru",JP Nagar,184.0,South,Road,84.0,open,,Engineering,2025-11-15 12:55:24,,,False,True,synthetic,,,,,
81.0,SYNE5B0FF,Garbage segregation not being done by BBMP collection vehicle. Wet and dry waste being mixed despite our segregation efforts. Making citizens efforts pointless.,"50, 1st Main Road, Shivajinagar, Bengaluru",Shivajinagar,73.0,Central,Sanitation,32.0,open,,SWM,2025-12-06 12:55:24,,,False,False,synthetic,,,,,
82.0,SYN8BE447,Water pipe burst near government school on 80 Feet Road. Massive water wastage happening for 44 days. Road also getting damaged due to water logging.,"44, 80 Feet Road, KR Puram, Bengaluru",KR Puram,94.0,East,Water,44.0,open,,BWSSB,2026-03-10 12:55:24,,,False,False,synthetic,,,,,
83.0,SYN424DFB,Underground water tank on 5th Cross has crack. Water seeping out for weeks. Request immediate repair before tank collapses and causes accident.,"259, 5th Cross, Whitefield, Bengaluru",Whitefield,84.0,East,Water,77.0,resolved,OFF683,BWSSB,2026-02-20 12:55:24,2026-02-25 12:55:24,5.0,False,True,synthetic,,,,,
84.0,SYNEABCC4,No road markings or reflectors on KR Road. Night driving is dangerous. Several accidents have occurred at this junction. Need proper road markings urgently.,"61, KR Road, RT Nagar, Bengaluru",RT Nagar,25.0,North,Road,74.0,open,,Engineering,2026-02-25 12:55:24,,,False,False,synthetic,,,,,
